Params,     T/V1,   T/V2,   T/V3,   T/V4,   T/V5,   T/V6,   T/V7,   T/V8

T(A5_S),    50,     49,     46.5,   45,     40,     35.2
V(A5_S),    10.25,  9.95,   9.15,   8.65,   7.05,   5.85
T(A5_B),    43.6,   40.8,   38.1,   35.75,  34.2
V(A5_B),    14.15,  11.55,  10.8,   9.85,   9.45

T(B5_B),    48,     41,     39,     38,     36,     34
V(B5_B),    15.2,   12.5,   11.7,   11.1,   10.7,   9.8
T(B5_S),    47.7,   40.6,   37.9,   36.4,   33.4,   32.4
V(B5_S),    9.7,    7.6,    6.6,    6.05,   5.6,    5.45

T(A4_B),    50.1,   48.0,   45.0,   40.5,   35.6,   32.2
V(A4_B),    16.6,   15.7,   13.9,   11.9,   10.5,   9.15
T(A4_S),    49.5,   46.8,   43.3,   41.4,   36.3,   32.7  
V(A4_S),    10.10,  9.0,    7.9,    7.35,   6.1,    5.4

T(B4_B),    46.1,   42.8,   40.9,   38.3,   36.7,   35.5,   33.5
V(B4_B),    14.1,   12.65,  11.8,   11.1,   10.5,   10.0,   9.2

T(A3_B),    49.8,   46.5,   42.3,   38.8,   34.9,   31.8
V(A3_B),    15.9,   14.55,  12.2,   11.15,  9.75,   8.7
T(A3_S),    51,     46.3,   42.0,   39.0,   35.2,   31.9
V(A3_S),    10.8,   9.0,    7.6,    6.9,    5.85,   5.2

T(B3_B),    49.3,   42.6,   39.5,   37.8,   36.0,   34.1
V(B3_B),    14.2,   12.4,   11.3,   10.6,   10.1,   9.6
T(B3_S),    50.3,   45.7,   43.0,   40.6,   38.8,   36.9,   34.9
V(B3_S),    10.7,   8.7,    7.90,   7.2,    6.65,   6.20,   5.95



T(A2_B),    48.9,   43.2,   39.0,   36.5,   34.8,   33.1,   30.1
V(A2_B),    15.9,   12.85,  11.25,  10.25,  9.5,    9.15,   8.25
T(A2_S),    50.0,   45.8,   42.9,   37.1,   35.5,   32.0
V(A2_S),    10.65,  8.65,   7.7,    6.5,    6.1,    5.15

T(B2_B),    37.0,   49.0,   39.0,   34.5,   33.0
V(B2_B),    10.9,   15.75,  11.15,  9.9,    9.05

T(A1_S),    49.5,   43.3,   40.4,   37.9,   35.6,   31.2
V(A1_S),    10.35,  8.0,    7.1,    6.6,    5.95,   5.05

T(B1_B),    47.5,   43.8,   42.1,   40.8,   39.6,   36.5
V(B1_B),    15.0,   13.5,   13.15,  12.1,   11.35,  10.2
T(B1_S),    43.9,   41.1,   36.9,   34.7,   33.8,   32.1
V(B1_S),    8.45,   6.95,   6.95,   5.75,   5.56,   5.4
    
