Gruppe,  E122,  E199,   E290,   E430,   E500,   E600,   E700,   E800,   E900,   L000,   L122,   L199,   L290,   L430,   L500,   L600,   L700,   L800,   L900,   L1000
A2,      82.1,	77.6,	79.1,	78.9,	79.0,	79.5,	77.6,	77.8,	78.2,	127.3,	123.6,	118.2,	108.0,	110.2,	94.1,	96.8,	107.5,	111.3,	107.9,	113.0
B2,      75.3,	75.5,	74.9,	75.3,	77.6,	78.4,	76.1,	74.7,	75.5,	127.6,	123.9,	118.3,	119.7,	97.2,	90.7,	93.1,	108.6,	110.0,	109.4,	114.6
A3,      81.1,	81.2,	80.2,	80.2,	80.8,	81.2,	81.1,	79.0,	78.0,	127.9,	123.4,	123.0,	123.4,	97.7,	92.2,	89.5,	101.0,	100.2,	109.5,	113.1
B3,      80.6,	79.9,	78.4,	81.5,	82.2,	80.5,	80.1,	78.5,	79.5,	128.0,	126.5,	123.0,	123.3,	87.2,	107.5,	82.7,	107.1,	103.8,	112.0,	114.3
A4,      79.8,	80.0,	78.8,	79.4,	80.0,	78.2,	77.5,	75.6,	75.9,	127.0,	123.9,	124.0,	110.3,	91.7,	83.9,	81.5,	105.0,	110.0,	108.9,	112.8
B4,      87.3,	79.5,	72.5,	80.0,	80.4,	76.9,	80.5,	77.6,	73.9,	123.0,	125.2,	124.8,	102.1,	90.4,	96.4,	83.5,	103.6,	109.7,	108.9,	112.9
