Params,     T/V1,   T/V2,   T/V3,   T/V4,   T/V5,   T/V6,   T/V7,   T/V8
V(A1_B),    17.75,	14.15,	13.75,  11.20,  9.65,   8.85
T(A1_B),    48.5,	45.5,	42.0,   38.6,   34.5,   31.5

V(A2_B),    16.65,	14.00,	13.25,  11.60,  10.00,  8.90
T(A2_B),    50.0,	45.2,	42.6,   39.2,   35.0,   32.2
V(A2_S),    11.05,	9.90,	8.20,   6.75,   6.0,    5.6
T(A2_S),    50.0,	46.5,	40.3,   37.9,   32.9,   30.5

V(A3_B),    14.55,	12.1,	11.1,   10.2,   9.3,    8.6
T(A3_B),    46.4,	40.8,	38.9,   36.0,   33.7,   30.8
V(A3_S),    10.55,	8.8,	7.55,   7.25,   6.2	,   5.65
T(A3_S),    49.5,	45.1,	40.9,   38.8,   36.0,   33.7

T(A4_B),    50.3,	45.4,	42.2,	41.0,   37.7,   33.2
V(A4_B),    17.2,	15.1,	13.5,	12.5,   11.2,   9.2
T(A4_S),    48.5,	45.6,	42.5,	39.5,   38.2,   34.6
V(A4_S),    10.3,	8.6,	8.0,	7.5,    7.45,   6.0

T(A5_B),    45.0,	40.2,   38.5,	36.5,	34.5,   31.0
V(A5_B),    13.9,	12.0,	11.2,	10.1,	10.05,  8.75

V(A6_B),    16.05,	15.05,	12.6,   11.25,  10.35,  9.05
T(A6_B),    49.0,	46.0,	42.1,   39.8,   36.9,   32.6
V(A6_S),    8.6,	8.05,	7.45,   6.7,    5.65,   5.0
T(A6_S),    44.9,   42.7,	41.1,   37.9,   34.3,   30.9

V(A7_B),    16.15,	14.7,	14.35,  11.0,   9.95,   9.0
T(A7_B),    49.9,	46.1,	43.5,   38.2,   35.3,   31.5

V(B1_S),    11.05,	9.4,	8.05,   7.1,    6.15,   5.45
T(B1_S),    50.9,	47.0,	43.3,   39.9,   36.4,   33.0

V(B2_B),    16.15,	13.80,	13.25,  11.40,  9.95,   8.65
T(B2_B),    49.8,	47.0,	43.8,   39.7,   35.4,   31.1
V(B2_S),    10.2,	9.55,	9.3,    7.55,   6.0,    5.2
T(B2_S),    49.9,	48.2,	44.5,   41.2,   35.5,   31.3

V(B3_B),    14.75,	11.65,	11.0,	10.45,  10.0,   8.4
T(B3_B),    45.2,	40.3,	37.8,	36.9,   34.7,   30.1

T(B5_B),    48.6,	44.9,	41.2,	39.2,   36.4,   34.1
V(B5_B),    15.75,	14.2,	12.35,  11.45,  10.45,  9.6
T(B5_S),    48.0,	44.4,	40.4,	38.6,   36.4,   35
V(B5_S),    9.50,	8.80,	7.9,	7.1,    6.4,    6.15

V(B6_B),    15.95,	16.30,	13.15,  10.95,  9.25,   8.6
T(B6_B),    50.0,	46.3,	43.1,   39.7,   34.0,   31.9
