Params,     T/V1,   T/V2,   T/V3,   T/V4,   T/V5,   T/V6,   T/V7,   T/V8

T(A5_B),    50.0,   45.4,   43.3,   40.0,   37.8,   35.7
V(A5_B),    16.7,   14.3,   13.2,   11.9,   11.1,   10.5

T(B5_B),    48.2,   45.1,   43.1,   41.1,   40.3,   37.1,   35.1
V(B5_B),    15.8,   14.05,  13.25,  12.35,  11.95,  10.70,  9.95

T(B5_S),    49.4,   47.5,   45.8,   44.5,   43.6,   42.7,   38.8,   36.4
V(B5_S),    10.9,   10.3,   9.15,   8.6,    8.3,    8.0,    6.85,   6.25

T(A4_S),    47.4,   43.9,   40.2,   37.1,   34.6,   31.5
V(A4_S),    9.45,   8.15,   7.05,   6.35,   5.8,    5.15

T(A4_B),    48,     42.4,   38.9,   36.0,   32.9,   31.5
V(A4_B),    16.15,  12.75,  11.55,  10.65,  9.4,    9.1

V(B4_B),    49.7,   46.5,   44.2,   40.6,   38.5,   31.8
V(B4_B),    19.0,   17.8,   15.0,   13.8,   12.0,   10.6

T(A3_S),    50.2,   48.3,   45.6,   41.8,   37.7,   31.9
V(A3_S),    10.85,  9.9,    8.85,   7.65,   6.6,    5.3

T(A3_B),    50.2,   46.9,   44.6,   41.7,   38.0,   32.5
V(A3_B),    17.1,   15.05,  13.85,  12.5,   11.15,  9.15

T(A2_B),    44.9,   42.4,   40.5,   38.4,   35.9,   33.1
V(A2_B),    14.25,  12.5,   11.85,  11.0,   10.1,   9.6

T(A2_S),    47.1,   43.8,   42.1,   39.7,   36.8,   33.4,   32.0
V(A2_S),    9.9,    8.4,    7.85,   6.95,   5.9,    5.65,   5.3

T(B2_S),    48.6,   46.1,   43.5,   39.9,   36.0,   32.6
V(B2_S),    9.6,    8.9,    8.1,    7.15,   6.2,    5.35

T(A1_S),    49.5,   44.9,   42.2,   38.6,   36.2,   34.0
V(A1_S),    10.05,  8.45,   7.4,    6.8,    6.1,    5.6

T(A1_B),   48.6,    43.6,   40.5,   38.0,   36.1,   34.5
V(A1_B),   15.75,   12.9,   11.85,  11.0,   10.3,   9.75

T(B1_S),    48.4,   41.2,   38.9,   37.9,   35.2,   33.8
V(B1_S),    9.8,    7.9,    6.9,    6.7,    5.9,    5.8

T(B1_B),    49.3,   42.9,   40.8,   39.3,   37.5,   35.2,   33.8,   30.9
V(B1_B),    16.1,   13.4,   12.5,   11.6,   11.0,   10.0,   9.5,    9.1     

T(A6_B),    49.4,   45.9,   41.4,   39.0,   37.5,   34.6
V(A6_B),    16.25,  14.25,  12.65,  11.2,   10.6,   9.85

T(B6_S),    48.3,   44.9,   41.4,   38.5,   35.0,   33.6
V(B6_S),    9.6,    8.5,    7.4,    6.6,    5.5,    5.15

T(B6_B),    47.8,   41.7,   39.1,   37.5,   36.0,   34.5
V(B6_B),    15.15,  12.8,   11.7,   10.4,   10.0,   9.65      

T(B3_S),    49.8,   47.0,   42.3,   38.7,   34.7
V(B3_S),    10.3,    9.35,   7.8,   6.7,    5.75
